newage,age_loc,total_w,mat,scale
3,2.7,638.034099132779,1,2
3,2.7,624.5387610580367,1,2
3,2.7,803.1810513019644,1,2
3,2.7,442.25891721347534,1,2
3,2.7,882.3057175048245,1,2
3,2.7,676.6547065454845,1,2
3,2.7,510.40195616269136,1,2
3,2.7,410.9854066266057,1,2
3,2.7,478.3750345026225,1,2
3,2.7,495.2005708327355,1,2
3,2.7,655.7526759573088,1,2
3,2.7,299.09075521148935,0,2
3,2.7,905.0916493839134,1,2
3,2.7,382.88740286734026,1,2
3,2.7,475.09832935421394,1,2
3,2.7,330.69663423997395,0,2
3,2.7,494.76954017579135,1,2
3,2.7,812.9372760900096,1,2
3,2.7,631.3313171530996,1,2
3,2.7,433.5608579330265,1,2
3,2.7,854.5092488416645,1,2
3,2.7,808.0059124720822,1,2
3,2.7,776.5400177833561,1,2
3,2.7,813.2061886184815,1,2
3,2.7,723.0807855760838,1,2
3,2.7,662.7522413173199,1,2
3,2.7,561.2271464866106,1,2
3,2.7,404.88584850183366,1,2
3,2.7,581.543908723611,1,2
3,2.7,806.4984190798733,1,2
3,2.7,754.0719107942311,1,2
3,2.7,865.8489127237498,1,2
3,2.7,620.4725131322174,1,2
3,2.7,711.0728663371268,1,2
3,2.7,676.2585999529387,1,2
3,2.7,698.5574796054415,1,2
3,2.7,682.4165033418104,1,2
3,2.7,394.3102593688838,1,2
3,2.7,328.7121255615555,0,2
3,2.7,912.2437850982783,1,2
3,2.7,379.92211318536886,1,2
3,2.7,702.8909572502822,1,2
3,2.7,533.362544950566,1,2
3,2.7,498.3786005858419,1,2
3,2.7,730.6288474234748,1,2
3,2.7,803.496544456188,1,2
3,2.7,883.8843268577774,1,2
3,2.7,493.445786618427,1,2
3,2.7,593.3978124090286,1,2
3,2.7,883.0099663350672,1,2
3,2.7,915.4686452736511,1,2
3,2.7,919.4960530697701,1,2
3,2.7,686.5678988442949,1,2
3,2.7,292.0502914905974,0,2
3,2.7,270.16335624180743,0,2
3,2.7,829.5193503423263,1,2
3,2.7,910.1181136268399,1,2
3,2.7,726.3433454817014,1,2
3,2.7,581.7468856933754,1,2
3,2.7,725.3817041337004,1,2
3,2.7,420.0974500037232,1,2
3,2.7,581.0906395511064,1,2
3,2.7,572.6597649088993,1,2
3,2.7,726.9099071463991,1,2
3,2.7,472.71695634199443,1,2
3,2.7,705.2026017354058,1,2
3,2.7,536.5323236268727,1,2
3,2.7,694.7566066144642,1,2
3,2.7,630.0915555564146,1,2
3,2.7,842.8204924349733,1,2
3,2.7,302.16830083237244,0,2
3,2.7,398.00831225880967,1,2
3,2.7,738.9790760160256,1,2
3,2.7,526.9468212481931,1,2
3,2.7,371.62953385438107,1,2
3,2.7,558.5362934223363,1,2
3,2.7,729.2737799231239,1,2
3,2.7,345.4267270894919,1,2
3,2.7,448.01165678098846,1,2
3,2.7,810.9674461920051,1,2
3,2.7,589.4888452818199,1,2
3,2.7,324.38078057839795,0,2
3,2.7,517.9228059009638,1,2
3,2.7,653.2973389293397,1,2
3,2.7,360.9951013551277,1,2
3,2.7,789.1781145805815,1,2
3,2.7,637.7722934409254,1,2
3,2.7,568.9550111011272,1,2
3,2.7,835.3423946743981,1,2
3,2.7,411.8962563595189,1,2
3,2.7,467.57580452567663,1,2
3,2.7,687.7073071819544,1,2
3,2.7,703.0719351206859,1,2
3,2.7,511.9253395484392,1,2
3,2.7,542.9791653101637,1,2
3,2.7,598.4281228408132,1,2
3,2.7,468.0972863490843,1,2
3,2.7,726.1036843733584,1,2
3,2.7,612.1378818612117,1,2
3,2.7,626.4434787895476,1,2
3,2.7,531.4279354814645,1,2
3,2.7,468.744234098424,1,2
3,2.7,507.06711715972347,1,2
3,2.7,242.42893829602303,0,2
3,2.7,439.45910016984146,1,2
3,2.7,538.1363612764311,1,2
3,2.7,606.7243111609108,1,2
3,2.7,728.3770078994007,1,2
3,2.7,516.6135470447715,1,2
3,2.7,766.3576802878264,1,2
3,2.7,832.1838996538492,1,2
3,2.7,884.7368066314015,1,2
3,2.7,812.1055941251509,1,2
3,2.7,656.6021387651755,1,2
3,2.7,659.7915626132605,1,2
3,2.7,410.3875445861336,1,2
3,2.7,730.8363722749782,1,2
3,2.7,592.0422871466121,1,2
3,2.7,632.9350681147943,1,2
3,2.7,740.9006080845845,1,2
3,2.7,576.7050556136192,1,2
3,2.7,668.0778627930376,1,2
3,2.7,540.5303167026017,1,2
3,2.7,785.9913404718767,1,2
3,2.7,896.3271334026527,1,2
3,2.7,833.6226077557857,1,2
3,2.7,734.2184821357844,1,2
3,2.7,301.7333368016085,0,2
3,2.7,909.0710800293944,1,2
3,2.7,390.04403913056103,1,2
3,2.7,813.186682369095,1,2
3,2.7,401.03262003128873,1,2
3,2.7,520.5269208371556,1,2
3,2.7,793.2832240920875,1,2
3,2.7,703.0081207183424,1,2
3,2.7,514.0002449876333,1,2
3,2.7,737.449960055959,1,2
3,2.7,621.4488942945728,1,2
3,2.7,420.9320553202022,1,2
3,2.7,652.1517467861405,1,2
3,2.7,444.350805545511,1,2
3,2.7,763.3434644815911,1,2
3,2.7,277.5281149262064,0,2
3,2.7,656.4855749405125,1,2
3,2.7,619.7282844125587,1,2
3,2.7,418.9187364626557,1,2
3,2.7,627.2082739827136,1,2
3,2.7,728.7197640863033,1,2
3,2.7,874.4298688981374,1,2
3,2.7,861.752854475641,1,2
3,2.7,840.2317817633506,1,2
3,2.7,604.547914426803,1,2
3,2.7,523.6069851847126,1,2
3,2.7,368.3669331346962,1,2
3,2.7,557.561584854324,1,2
3,2.7,683.0847354576606,1,2
3,2.7,530.2779713812183,1,2
3,2.7,557.2210261003322,1,2
