total_w,gonad_w,newage,site,maturity,mat
38,0.3,1,K,M,1
34.5,0.13,1,K,M,1
34.5,0.31,1,K,M,1
46,0.42,1.5,K,M,1
40,0.1,1,K,M,1
38.5,0.5,1,K,M,1
33.5,0.49,1.5,K,M,1
24,0.21,1,K,M,1
102.5,1.39,2,K,M,1
134,1.33,2,K,M,1
97.5,1.23,2,K,M,1
1037.5,140.94,4,K,M,1
843,39.04,4,K,M,1
297.5,12.71,3,K,M,1
428.5,8.72,3.5,K,M,1
432,6.58,3,K,M,1
275.5,6.12,3,K,M,1
405.5,16.01,3,K,M,1
346.5,8.54,3,K,M,1
312,11.86,2,K,M,1
284.5,5.99,3,K,M,1
281,13.8,3,K,M,1
262,12.31,3,K,M,1
293,4.36,3,K,M,1
264.5,7.46,3,K,M,1
269,5.9,3,K,M,1
76,0.37,2,K,M,1
223.5,11.66,3,K,M,1
366,12.86,3,K,M,1
406.5,8.43,3.5,K,M,1
226,4.75,3,K,M,1
275,6.49,3,K,M,1
216,1.72,3,K,I,0
199.5,11.27,3,K,M,1
150.5,1.07,3,K,M,1
109.5,0.76,2,K,I,0
95,0.65,3,K,M,1
58.5,0.2,1.5,K,I,0
180,4.4,3,K,M,1
144.5,0.57,3,K,M,1
180,9.35,3,K,M,1
193,4.36,3,K,M,1
207,2.64,3,K,M,1
156.5,2.1,3,K,M,1
166.5,0.27,2.5,K,I,0
155,4.76,3,K,M,1
156,0.84,2,K,I,0
383,28.49,4,K,M,1
344,15.61,3,K,M,1
165,4.56,2,K,M,1
300.5,10.67,2.5,K,M,1
268.5,6.27,3,K,M,1
112.5,0.54,2,K,M,1
111.5,0.29,2,K,M,1
168.5,6.05,2,K,M,1
136.5,4,2,K,M,1
109,0.87,2,K,M,1
166,1.7,3,K,M,1
170,2.82,3,K,M,1
164.2,0.85,3,K,M,1
158.5,2.24,2,K,M,1
233.5,1.03,3,K,M,1
161.5,0.92,3,K,M,1
153.5,0.74,3,K,M,1
163,1.33,3,K,M,1
130,0.73,3,K,M,1
285,6.58,2.5,K,M,1
245.5,7.97,3,K,M,1
237.5,0.8,2.5,K,I,0
230.5,1.99,2.5,K,I,0
275.5,6.11,3.5,K,M,1
379,14.47,4,K,M,1
191,7.08,3,K,M,1
191,3.46,3,K,M,1
251,20.51,3.5,K,M,1
203,5.71,3,K,M,1
219.5,5.84,3,K,M,1
169.5,7.68,2,K,M,1
166,4.44,2,K,M,1
275,5.13,4,K,M,1
275,5.61,3,K,M,1
435,19.47,3.5,K,M,1
